weight,phrase
11626,stand
10329,watch (a person)
6647,food
6431,carry or hold (an object)
6029,sit
4891,game
4630,talk to (self or a person or a group)
4476,vehicle
3854,toy
2955,walk
2788,listen to (a person)
2761,dance
2639,association football
2561,animal
2553,toddler
2246,run or jog
2240,touch (an object)
1924,animation
1897,car
1872,christmas
1842,video game
1590,barbie
1487,ball
1483,trailer (promotion)
1358,bend or bow (at the waist)
1338,guitar
1337,basketball
1325,musician
1312,pet
1191,doll
1174,comedy (drama)
1164,piano
1129,minecraft
1103,photography
1063,stadium
1059,amusement park
1058,clown
992,hair
960,outdoor recreation
934,wedding
908,water
900,the walt disney company
893,walt disney world
890,beach
873,love song
824,arena
824,marriage proposal
767,boxing
755,swimming pool
734,prayer
714,eating
692,lie or sleep
647,hairstyle
645,anpanman
641,musical ensemble
640,disc jockey
638,kissing
612,celebrating
610,fishing
605,spider-man
603,laughing
601,american football
587,sonic the hedgehog
576,tasting food
559,bbc
548,giving or receiving award
547,easter egg
545,bollywood
541,winter sport
538,cartoon
514,music
513,human swimming
510,singing
500,answering questions
499,call of duty black ops
498,dining
491,opening present
484,playground
484,kindergarten
482,fight or hit (a person)
481,flute
480,naruto
472,action-adventure game
470,music video
459,dog
459,pony
457,applauding
454,texting
453,balloon
452,mobile phone
445,snowboarding
442,violin
439,santa claus
433,pokémon
433,yoga
426,nail (anatomy)
421,blowing out candles
421,combat
420,crying
418,bride
417,recipe
417,hurling (sport)
413,hockey
413,concert
405,call of duty
405,cheerleading
402,egg hunting
402,batman
400,wrestling
400,tennis
399,cooking
399,drum
398,choir
396,athlete
391,ice cream
380,smartphone
380,cuisine
378,hugging
376,badminton
374,jump or leap
368,archery
361,get up
359,washing hands
358,clapping
358,orchestra
354,pumping fist
350,ball (association football)
349,dish (food)
349,auctioning
348,water sliding
346,fashion
340,cosmetics
336,resort
335,penalty kick (association football)
333,skateboarding
330,plant
326,star wars
324,sing to (self or a person or a group)
324,performance art
322,motorsport
321,league of legends
321,cake
320,string instrument
320,touhou project
319,drum kit
318,tossing coin
318,shaking hands
317,train
316,candy
313,diving cliff
313,fall down
311,crouch or kneel
311,jumping into pool
310,rugby football
309,playing badminton
308,dancing macarena
307,keyboard instrument
305,eating ice cream
303,carnival
302,ride (a bike or a car or a horse)
301,zumba
300,baking cookies
299,stretching
298,school
297,wii
296,skiing
296,playing cricket
295,playing poker
294,reading book
293,feeding fish
288,ballet
287,shooting goal (soccer)
286,underwater
286,soldier
283,monster high
281,outline of meals
280,stomping grapes
280,drinking
278,recording music
278,testifying
277,jogging
276,personal computer
276,dancing gangnam style
276,pitcher
275,petting animal (not cat)
275,watering plants
275,beatboxing
274,wrapping present
273,golf putting
272,carrying baby
272,gopro
271,driving car
269,fish
269,snorkeling
267,swinging on something
267,boat
264,barbequing
263,festival
262,strategy video game
262,sports game
262,rock scissors paper
260,gift
259,cricket
255,video game console
255,drawing
254,pushing cart
254,smoking
254,catching or throwing baseball
253,cleaning windows
253,throw
252,cycling
251,swim
250,drummer
250,james bond
250,airplane
249,playing volleyball
247,parkour
247,catching or throwing frisbee
247,robot dancing
247,tai chi
245,washing dishes
244,mixtape
243,grand theft auto v
241,picking fruit
241,pianist
240,finger snapping
239,somersaulting
239,climbing ladder
238,handball
237,driving
236,aircraft
235,eating hotdog
231,superman
228,swing (seat)
228,baseball park
227,snare drum
226,ski
224,alphabet
223,bicycle
222,puppy
220,canoeing or kayaking
220,pretty cure
